id,value,sort_order,created_at
13742,Aadhar Housing Finance Ltd,0,2026-07-08 16:16:52.170555+00
13743,Aavas Financiers Ltd,1,2026-07-08 16:16:52.170555+00
13744,Abhiyan Capital (India) Pvt Ltd,2,2026-07-08 16:16:52.170555+00
13745,Aditya Birla Capital Ltd,3,2026-07-08 16:16:52.170555+00
13746,Aditya Birla Finance Ltd,4,2026-07-08 16:16:52.170555+00
13747,Aditya Birla Housing Finance Ltd,5,2026-07-08 16:16:52.170555+00
13748,Advolegit Solutions Pvt Ltd,6,2026-07-08 16:16:52.170555+00
13749,Agriwise Finserv Ltd,7,2026-07-08 16:16:52.170555+00
13750,Akme Fintrade(India)Ltd,8,2026-07-08 16:16:52.170555+00
13751,Ambit Finvest Pvt. Ltd,9,2026-07-08 16:16:52.170555+00
13752,Anand Rathi Global Finance Ltd,10,2026-07-08 16:16:52.170555+00
13753,Ananya Finance For Inclusive Growth Pvt Ltd,11,2026-07-08 16:16:52.170555+00
13754,Annapurna Finance Pvt. Ltd,12,2026-07-08 16:16:52.170555+00
13755,Archbridge Capital Pvt Ltd,13,2026-07-08 16:16:52.170555+00
13756,Arka Fincap Ltd,14,2026-07-08 16:16:52.170555+00
13757,Art Housing Finance (India) Ltd,15,2026-07-08 16:16:52.170555+00
13758,Aryadhan Financial Solutions Pvt. Ltd,16,2026-07-08 16:16:52.170555+00
13759,Aspire Financiers,17,2026-07-08 16:16:52.170555+00
13760,Asset Reconstruction Company (India) Ltd,18,2026-07-08 16:16:52.170555+00
13761,Assets Care & Reconstruction Enterprise Ltd,19,2026-07-08 16:16:52.170555+00
13762,Au Small Finance Bank Ltd,20,2026-07-08 16:16:52.170555+00
13763,Auxilo Finserve Pvt. Ltd,21,2026-07-08 16:16:52.170555+00
13764,Avanse Financial Services Ltd,22,2026-07-08 16:16:52.170555+00
13765,Aviom India Housing Finance Pvt. Ltd,23,2026-07-08 16:16:52.170555+00
13766,Axis Bank Ltd,24,2026-07-08 16:16:52.170555+00
13767,Axis Finance Ltd,25,2026-07-08 16:16:52.170555+00
13768,Aye Finance Pvt. Ltd,26,2026-07-08 16:16:52.170555+00
13769,Bajaj Finance Ltd,27,2026-07-08 16:16:52.170555+00
13770,Bandhan Bank Ltd,28,2026-07-08 16:16:52.170555+00
13771,Berar Finance Ltd,29,2026-07-08 16:16:52.170555+00
13772,Bizloan Pvt. Ltd,30,2026-07-08 16:16:52.170555+00
13773,Can Fin Homes Ltd,31,2026-07-08 16:16:52.170555+00
13774,Capital India Finance Ltd,32,2026-07-08 16:16:52.170555+00
13775,Capital India Home Loans Ltd,33,2026-07-08 16:16:52.170555+00
13776,Capri Global Capital Ltd,34,2026-07-08 16:16:52.170555+00
13777,Capri Global Housing Finance Ltd,35,2026-07-08 16:16:52.170555+00
13778,Capsafe Fintech Pvt Ltd,36,2026-07-08 16:16:52.170555+00
13779,Cdl Financial Services Pvt. Ltd,37,2026-07-08 16:16:52.170555+00
13780,Cent Bank Home Finance Ltd,38,2026-07-08 16:16:52.170555+00
13781,Centrum Housing Finance Ltd,39,2026-07-08 16:16:52.170555+00
13782,Choice Finserv Pvt. Ltd,40,2026-07-08 16:16:52.170555+00
13783,Cholamandalam Investment And Finance Co.Ltd,41,2026-07-08 16:16:52.170555+00
13784,Clix Capital Services Pvt. Ltd,42,2026-07-08 16:16:52.170555+00
13785,Coracle Capital Consulting And Corporate Services Pvt. Ltd,43,2026-07-08 16:16:52.170555+00
13786,Csb Bank Ltd,44,2026-07-08 16:16:52.170555+00
13787,Csl Finance Ltd,45,2026-07-08 16:16:52.170555+00
13788,DBS Bank India Ltd,46,2026-07-08 16:16:52.170555+00
13789,Dcb Bank Ltd,47,2026-07-08 16:16:52.170555+00
13790,Dmi Housing Finance Pvt Ltd,48,2026-07-08 16:16:52.170555+00
13791,Dvara Kshetriya Gramin Financial Services Pvt Ltd,49,2026-07-08 16:16:52.170555+00
13792,Easy Home Finance Ltd,50,2026-07-08 16:16:52.170555+00
13793,ECL Finance Ltd,51,2026-07-08 16:16:52.170555+00
13794,Edelweiss Asset Reconstruction Company Ltd,52,2026-07-08 16:16:52.170555+00
13795,Electronica Finance Ltd,53,2026-07-08 16:16:52.170555+00
13796,Equitas Small Finance Bank Ltd,54,2026-07-08 16:16:52.170555+00
13797,Esaf Small Finance Bank Ltd,55,2026-07-08 16:16:52.170555+00
13798,Exclusive Leasing And Finance Pvt. Ltd,56,2026-07-08 16:16:52.170555+00
13799,Fedbank Financial Services Ltd,57,2026-07-08 16:16:52.170555+00
13800,Fingrow Capital Pvt Ltd,58,2026-07-08 16:16:52.170555+00
13801,Finova Capital Pvt Ltd,59,2026-07-08 16:16:52.170555+00
13802,GIC Housing Finance Ltd,60,2026-07-08 16:16:52.170555+00
13803,Globe Fincap Ltd,61,2026-07-08 16:16:52.170555+00
13804,Grihum Housing Finance Ltd,62,2026-07-08 16:16:52.170555+00
13805,Grow Lotus Fintech Pvt. Ltd,63,2026-07-08 16:16:52.170555+00
13806,Grow Money Capital Pvt. Ltd,64,2026-07-08 16:16:52.170555+00
13807,Hdb Financial Services Ltd,65,2026-07-08 16:16:52.170555+00
13808,Hdfc Bank Ltd,66,2026-07-08 16:16:52.170555+00
13809,Hdfc Credila Financial Services Ltd,67,2026-07-08 16:16:52.170555+00
13810,Hero Fincorp Ltd,68,2026-07-08 16:16:52.170555+00
13811,Hero Housing Finance Ltd,69,2026-07-08 16:16:52.170555+00
13812,Hinduja Housing Finance Ltd,70,2026-07-08 16:16:52.170555+00
13813,Hinduja Leyland Finance Ltd,71,2026-07-08 16:16:52.170555+00
13814,Hiranandani Financial Services Pvt. Ltd,72,2026-07-08 16:16:52.170555+00
13815,Home Plus Finance Pvt Ltd,73,2026-07-08 16:16:52.170555+00
13816,Homeshree Housing Finance Ltd,74,2026-07-08 16:16:52.170555+00
13817,Icici Bank Ltd,75,2026-07-08 16:16:52.170555+00
13818,Icici Home Finance Company Ltd,76,2026-07-08 16:16:52.170555+00
13819,IDBI Bank Ltd,77,2026-07-08 16:16:52.170555+00
13820,IDFC First Bank Ltd,78,2026-07-08 16:16:52.170555+00
13821,Iffco Kisan Finance Ltd,79,2026-07-08 16:16:52.170555+00
13822,IIFL Finance Ltd,80,2026-07-08 16:16:52.170555+00
13823,IIFL Home Finance Ltd,81,2026-07-08 16:16:52.170555+00
13824,Incred Financial Services Ltd,82,2026-07-08 16:16:52.170555+00
13825,India Mortgage Guarantee Corporation Pvt. Ltd,83,2026-07-08 16:16:52.170555+00
13826,India Shelter Finance Corporation Ltd,84,2026-07-08 16:16:52.170555+00
13827,Indifi Capital Pvt. Ltd,85,2026-07-08 16:16:52.170555+00
13828,Indusind Bank Ltd,86,2026-07-08 16:16:52.170555+00
13829,Infina Finance Pvt Ltd,87,2026-07-08 16:16:52.170555+00
13830,Intec Capital Ltd,88,2026-07-08 16:16:52.170555+00
13831,J & K Bank Ltd,89,2026-07-08 16:16:52.170555+00
13832,Jio Finance Ltd,90,2026-07-08 16:16:52.170555+00
13833,JM Financial Home Loans Ltd,91,2026-07-08 16:16:52.170555+00
13834,Kifs Housing Finance Ltd,92,2026-07-08 16:16:52.170555+00
13835,Kisetsu Saison Finance (India) Pvt. Ltd,93,2026-07-08 16:16:52.170555+00
13836,Kogta Financial (India) Ltd,94,2026-07-08 16:16:52.170555+00
13837,Kotak Mahindra Bank Ltd,95,2026-07-08 16:16:52.170555+00
13838,L&T Finance Ltd,96,2026-07-08 16:16:52.170555+00
13839,Laxmi India Finance Ltd,97,2026-07-08 16:16:52.170555+00
13840,LIC Housing Finance Ltd,98,2026-07-08 16:16:52.170555+00
13841,Loan Wired Fintech Pvt. Ltd,99,2026-07-08 16:16:52.170555+00
13842,Lord Krishna Financial Services Ltd,100,2026-07-08 16:16:52.170555+00
13843,Mahindra And Mahindra Financial Services Ltd,101,2026-07-08 16:16:52.170555+00
13844,Mahindra Rural Housing Finance Ltd,102,2026-07-08 16:16:52.170555+00
13845,Manba Finance Ltd,103,2026-07-08 16:16:52.170555+00
13846,Manibhavnam Home Finance India Pvt. Ltd,104,2026-07-08 16:16:52.170555+00
13847,Mas Financial Services Ltd,105,2026-07-08 16:16:52.170555+00
13848,Mas Rural Housing Mortgage Finance Ltd,106,2026-07-08 16:16:52.170555+00
13849,MEET FINANCE Pvt LTD,107,2026-07-08 16:16:52.170555+00
13850,Mintifi Finserve Pvt. Ltd,108,2026-07-08 16:16:52.170555+00
13851,Mizuho Capsave Finance Pvt Ltd,109,2026-07-08 16:16:52.170555+00
13852,Moneyboxx Finance Ltd,110,2026-07-08 16:16:52.170555+00
13853,Moneyplus Financial Services Ltd,111,2026-07-08 16:16:52.170555+00
13854,Moneywise Financial Services Pvt. Ltd,112,2026-07-08 16:16:52.170555+00
13855,Motilal Oswal Finvest Ltd,113,2026-07-08 16:16:52.170555+00
13856,Motilal Oswal Home Finance Ltd,114,2026-07-08 16:16:52.170555+00
13857,Ms Fincap Ltd,115,2026-07-08 16:16:52.170555+00
13858,Ms The Hongkong And Shanghai Banking Corporation Ltd(Hsbc),116,2026-07-08 16:16:52.170555+00
13859,Muthoot Fincorp Ltd,117,2026-07-08 16:16:52.170555+00
13860,Muthoot Homefin (India) Ltd,118,2026-07-08 16:16:52.170555+00
13861,Muthoot Housing Finance Company Ltd,119,2026-07-08 16:16:52.170555+00
13862,Muthoot Microfin Ltd,120,2026-07-08 16:16:52.170555+00
13863,Namdev Finvest Pvt Ltd,121,2026-07-08 16:16:52.170555+00
13864,Natural City Gas,122,2026-07-08 16:16:52.170555+00
13865,Neogrowth Credit Pvt. Ltd,123,2026-07-08 16:16:52.170555+00
13866,Nido Home Finance Ltd,124,2026-07-08 16:16:52.170555+00
13867,Niwas Housing Finance Pvt. Ltd,125,2026-07-08 16:16:52.170555+00
13868,Omkara Assets Reconstruction Pvt Ltd,126,2026-07-08 16:16:52.170555+00
13869,Ovington Finance Pvt Ltd,127,2026-07-08 16:16:52.170555+00
13870,Oxyzo Financial Services Ltd,128,2026-07-08 16:16:52.170555+00
13871,Paisa Hai Finance Solution Pvt Ltd,129,2026-07-08 16:16:52.170555+00
13872,Paisabuddy Finance Pvt Ltd,130,2026-07-08 16:16:52.170555+00
13873,Pegasus Assets Reconstruction Pvt. Ltd,131,2026-07-08 16:16:52.170555+00
13874,PHF Finance Pvt Ltd,132,2026-07-08 16:16:52.170555+00
13875,PHF Leasing Ltd,133,2026-07-08 16:16:52.170555+00
13876,Phoenix Udyog Pvt Ltd,134,2026-07-08 16:16:52.170555+00
13877,Pink City Fincap Pvt Ltd,135,2026-07-08 16:16:52.170555+00
13878,Piramal Capital And Housing Finance Ltd,136,2026-07-08 16:16:52.170555+00
13879,Poonawalla Fincorp Ltd,137,2026-07-08 16:16:52.170555+00
13880,Property Crow Services Pvt Ltd,138,2026-07-08 16:16:52.170555+00
13881,Protium Finance Ltd,139,2026-07-08 16:16:52.170555+00
13882,Purple Finance Ltd,140,2026-07-08 16:16:52.170555+00
13883,R K Bansal Finance Pvt Ltd,141,2026-07-08 16:16:52.170555+00
13884,Radian Finserv Pvt. Ltd,142,2026-07-08 16:16:52.170555+00
13885,Ratnaafin Capital Pvt. Ltd,143,2026-07-08 16:16:52.170555+00
13886,RBL Bank Ltd,144,2026-07-08 16:16:52.170555+00
13887,Reliance Commercial Finance Ltd,145,2026-07-08 16:16:52.170555+00
13888,Religare Housing Development Finance Corporation Ltd,146,2026-07-08 16:16:52.170555+00
13889,Roha Housing Finance Pvt. Ltd,147,2026-07-08 16:16:52.170555+00
